Key,Value
PROJECT_NAME,KR R2M 230817 패치 QA
PROJECT_NAME_1,KR R2M 230817 패치
START_DATE,2023.08.14(월)
END_DATE,2023.08.16(수)
MEMBERS,"박남주, 노진석, 성민석, 김영현, 황정수, 양재민"
SERVER_ALPHA,알파 서버 그룹 01 ~ 04
SERVER_LIVE,
CLIENT_ALPHA_0,R2MClientKorea_Alpha_1101123_230727_0155.apk
CLIENT_ALPHA_1,R2MClientKorea_Alpha_1100121_230721_2008.ipa
CLIENT_LIVE_0,
CLIENT_LIVE_1,
CLIENT_LIVE_2,
SUCCESS_RATE,50.00%
EXECUTION_RATE,50.00%
PASS_COUNT,1
FAIL_COUNT,0
NA_COUNT,0
NT_COUNT,0
NE_COUNT,0
TOTAL_COUNT,2
